draw_date,a1,a2,a3,a4,a5,a6,actual_powerball
2025-12-31,3,23,11,33,26,1,10
2025-12-27,2,19,27,26,14,23,3
2025-12-24,18,2,33,23,17,28,7
2025-12-20,17,14,31,2,33,19,1
2025-12-17,27,15,22,8,18,4,6
2025-12-13,24,39,7,18,21,10,4
2025-12-10,13,31,27,5,32,6,4
2025-12-06,29,4,35,17,31,37,7
2025-12-03,9,30,40,38,24,3,2
2025-11-29,37,19,8,33,29,11,3
2025-11-26,5,4,32,34,9,21,1
2025-11-22,10,2,12,28,6,30,8
2025-11-19,10,18,29,2,25,31,3
2025-11-15,38,28,2,5,14,19,6
2025-11-12,30,18,10,27,4,19,8
2025-11-08,13,24,28,4,22,2,8
2025-11-05,25,3,9,4,29,40,3
2025-11-01,9,26,35,5,7,4,10
2025-10-29,30,4,14,24,13,33,2
2025-10-25,22,24,20,3,37,36,5
2025-10-22,37,3,31,12,9,15,6
2025-10-18,37,32,10,26,20,33,2
2025-10-15,17,40,14,38,15,12,5
2025-10-11,37,7,11,40,24,39,7
2025-10-08,5,11,17,32,30,34,3
2025-10-04,14,25,24,27,32,17,7
2025-10-01,10,32,27,22,2,38,10
2025-09-27,15,19,17,35,10,6,5
2025-09-24,26,20,31,36,24,10,5
2025-09-20,23,21,13,32,22,9,1
2025-09-17,37,14,12,6,20,33,2
2025-09-13,40,21,34,32,14,8,1
2025-09-10,27,35,14,18,26,13,8
2025-09-06,18,17,32,27,6,40,9
2025-09-03,38,28,4,2,10,1,2
2025-08-30,13,4,40,33,9,15,4
2025-08-27,32,13,21,14,9,12,2
2025-08-23,13,16,25,17,31,24,8
2025-08-20,16,11,7,37,12,27,9
2025-08-16,33,39,38,28,34,6,10
2025-08-13,10,9,15,22,27,35,10
2025-08-09,19,21,11,35,6,33,3
2025-08-06,10,14,12,20,1,11,10
2025-08-02,19,29,28,40,31,3,9
2025-07-30,33,5,10,27,38,28,6
2025-07-26,18,37,30,9,29,34,6
2025-07-23,4,24,20,9,14,26,7
2025-07-19,6,16,4,37,33,12,3
2025-07-16,31,26,33,28,8,19,5
2025-07-12,20,29,18,13,17,8,1
2025-07-09,39,32,38,20,28,36,7
2025-07-05,6,20,25,14,9,32,4
2025-07-02,4,26,3,40,27,6,9
2025-06-28,10,31,34,21,2,22,10
2025-06-25,20,16,40,35,11,6,10
2025-06-21,11,35,3,20,19,27,7
2025-06-18,28,6,11,32,23,33,6
2025-06-14,1,13,7,23,2,34,6
2025-06-11,5,18,32,9,11,16,1
2025-06-07,2,16,6,22,11,34,4
2025-06-04,35,11,9,14,10,6,10
2025-05-31,1,2,34,29,35,32,5
2025-05-28,25,40,18,1,10,15,7
2025-05-24,36,1,7,38,29,27,2
2025-05-21,6,24,5,37,3,27,10
2025-05-17,15,25,22,6,2,19,7
2025-05-14,6,28,27,8,1,21,9
2025-05-10,17,22,4,27,35,14,6
2025-05-07,18,11,9,26,13,36,7
2025-05-03,13,22,21,23,11,1,10
2025-04-30,12,14,38,20,24,1,4
2025-04-26,23,5,40,13,11,2,9
2025-04-23,10,31,24,19,22,40,1
2025-04-19,29,1,4,11,9,23,3
2025-04-16,10,39,4,9,32,25,6
2025-04-12,23,10,15,22,32,13,2
2025-04-09,14,21,33,8,24,15,1
2025-04-05,38,27,37,21,39,3,5
2025-04-02,40,29,33,14,26,25,7
2025-03-29,14,4,36,21,15,11,6
2025-03-26,12,18,8,29,22,31,10
2025-03-22,6,12,5,24,26,19,9
2025-03-19,13,27,25,26,4,1,6
2025-03-15,12,10,4,29,27,36,6
2025-03-12,31,25,29,33,9,1,7
2025-03-08,23,11,5,38,39,12,6
2025-03-05,6,17,33,9,11,14,6
2025-03-01,2,17,20,22,30,27,8
2025-02-26,29,22,11,23,21,38,4
2025-02-22,4,8,10,16,23,33,10
2025-02-19,21,13,24,18,11,38,5
2025-02-15,16,21,5,13,37,14,3
2025-02-12,2,34,28,33,10,31,8
2025-02-08,9,15,7,12,1,33,3
2025-02-05,1,37,18,21,5,11,5
2025-02-01,34,24,30,4,1,39,8
2025-01-29,3,40,15,1,27,16,5
2025-01-25,34,9,1,17,23,38,6
2025-01-22,25,5,10,1,20,16,6
2025-01-18,13,12,38,34,26,21,3
2025-01-15,37,3,34,9,40,20,8
2025-01-11,10,40,7,13,22,37,6
2025-01-08,20,32,33,14,34,15,9
2025-01-04,28,31,2,16,36,20,6
2025-01-01,27,8,17,21,16,23,5
2024-12-28,9,2,36,19,30,26,4
2024-12-25,31,15,18,29,6,13,2
2024-12-21,2,24,3,21,9,33,8
2024-12-18,13,35,3,14,31,23,1
2024-12-14,14,32,21,24,17,10,10
2024-12-11,32,19,25,39,35,18,10
2024-12-07,27,16,3,24,7,29,9
2024-12-04,23,35,17,6,7,20,6
2024-11-30,27,28,25,3,17,10,1
2024-11-27,25,27,39,12,28,17,10
2024-11-23,22,27,3,40,17,29,8
2024-11-20,40,15,38,7,30,20,5
2024-11-16,28,12,5,39,3,19,7
2024-11-13,11,30,38,29,3,32,2
2024-11-09,2,28,18,16,12,13,7
2024-11-06,31,38,30,17,7,40,2
2024-11-02,5,13,21,39,33,29,10
2024-10-30,10,31,25,36,22,24,1
2024-10-26,28,25,1,26,10,17,5
2024-10-23,32,17,28,30,21,12,10
2024-10-19,15,20,26,21,30,2,1
2024-10-16,18,40,17,5,11,6,4
2024-10-12,28,20,24,10,11,33,1
2024-10-09,10,1,3,38,32,24,3
2024-10-05,3,36,11,12,30,2,6
2024-10-02,12,10,39,22,28,31,8
2024-09-28,12,16,28,34,24,35,8
2024-09-25,5,30,2,17,27,3,10
2024-09-21,25,19,12,21,36,10,6
2024-09-18,1,8,34,5,37,19,3
2024-09-14,22,18,15,31,3,32,10
2024-09-11,22,15,10,3,26,19,8
2024-09-07,40,4,9,33,2,8,8
2024-09-04,9,36,16,35,31,28,2
2024-08-31,16,39,14,8,34,24,2
2024-08-28,37,31,1,4,35,20,9
2024-08-24,5,10,25,38,14,19,3
2024-08-21,7,38,30,17,12,16,6
2024-08-17,36,7,37,33,34,22,8
2024-08-14,12,29,32,25,5,24,10
