draw_date,actual_main_numbers,actual_powerball
12/31/2025,"3,23,11,33,26,1",10
12/27/2025,"2,19,27,26,14,23",3
12/24/2025,"18,2,33,23,17,28",7
12/20/2025,"17,14,31,2,33,19",1
12/17/2025,"27,15,22,8,18,4",6
12/13/2025,"24,39,7,18,21,10",4
12/10/2025,"13,31,27,5,32,6",4
12/6/2025,"29,4,35,17,31,37",7
12/3/2025,"9,30,40,38,24,3",2
11/29/2025,"37,19,8,33,29,11",3
11/25/2025,"5,4,32,34,9,21",1
11/22/2025,"10,2,12,28,6,30",8
11/18/2025,"10,18,29,2,25,31",3
11/15/2025,"38,28,2,5,14,19",6
11/11/2025,"30,18,10,27,4,19",8
